1.7_t,3.2_t,31.4_t
97.614,94.005,69.063
97.639,94.073,69.374
97.664,94.148,69.681
97.694,94.211,69.992
97.716,94.287,70.313
97.739,94.344,70.622
97.777,94.42,70.958
97.806,94.498,71.278
97.824,94.563,71.59
97.868,94.64,71.915
97.899,94.71,72.227
97.906,94.771,72.537
97.931,94.841,72.853
97.957,94.902,73.164
97.993,94.972,73.483
98.015,95.041,73.795
98.044,95.113,74.101
98.068,95.177,74.409
98.09,95.232,74.713
98.116,95.293,75.012
98.143,95.367,75.327
98.164,95.433,75.627
98.193,95.494,75.938
98.215,95.567,76.257
98.256,95.641,76.576
98.268,95.711,76.889
98.296,95.766,77.2
98.314,95.821,77.516
98.344,95.891,77.844
98.367,95.958,78.165
98.405,96.028,78.493
98.431,96.085,78.809
98.47,96.159,79.137
98.488,96.225,79.445
98.509,96.283,79.753
98.528,96.344,80.058
98.553,96.408,80.368
98.576,96.469,80.667
98.605,96.53,80.988
98.631,96.599,81.288
98.656,96.657,81.595
98.672,96.706,81.9
98.7,96.774,82.208
98.718,96.823,82.509
98.74,96.884,82.814
98.761,96.942,83.122
98.785,97.003,83.434
98.816,97.058,83.748
98.839,97.128,84.071
98.862,97.2,84.389
98.891,97.263,84.703
98.924,97.322,85.022
98.943,97.382,85.329
98.953,97.433,85.619
98.973,97.484,85.918
99.001,97.543,86.227
99.026,97.607,86.543
99.049,97.664,86.847
99.063,97.713,87.134
99.095,97.777,87.447
99.13,97.849,87.75
99.146,97.902,88.051
99.179,97.957,88.362
99.188,98.009,88.657
99.205,98.061,88.966
99.232,98.125,89.296
99.269,98.196,89.616
99.294,98.253,89.931
99.307,98.302,90.239
99.321,98.351,90.553
99.352,98.413,90.869
99.39,98.492,91.187
99.396,98.531,91.47
99.388,98.563,91.762
99.442,98.643,92.09
99.474,98.708,92.39
99.486,98.741,92.671
99.484,98.788,92.96
99.509,98.833,93.245
99.55,98.909,93.567
99.579,98.972,93.869
99.574,98.991,94.136
99.574,99.025,94.411
99.594,99.086,94.696
99.631,99.149,95.018
99.663,99.222,95.328
99.704,99.297,95.648
99.718,99.347,95.95
99.731,99.379,96.228
99.736,99.416,96.509
99.759,99.472,96.805
99.762,99.506,97.09
99.759,99.519,97.345
99.786,99.588,97.655
99.817,99.641,97.94
99.823,99.681,98.215
99.852,99.724,98.497
99.866,99.771,98.782
99.875,99.812,99.054
99.913,99.864,99.355
99.942,99.928,99.652
99.974,100.003,99.902
