0.8,1.7_t,3.2_t,31.4_t
95.56,67.529,35.35,0.195
95.584,67.654,35.527,0.203
95.612,67.775,35.692,0.208
95.624,67.897,35.867,0.211
95.636,68.007,36.031,0.215
95.653,68.123,36.192,0.218
95.66,68.227,36.349,0.224
95.686,68.335,36.504,0.23
95.699,68.436,36.656,0.235
95.714,68.542,36.809,0.24
95.723,68.645,36.964,0.246
95.737,68.75,37.122,0.249
95.749,68.854,37.279,0.255
95.755,68.954,37.43,0.262
95.769,69.061,37.592,0.272
95.779,69.177,37.756,0.276
95.79,69.276,37.915,0.284
95.816,69.391,38.084,0.291
95.819,69.501,38.251,0.299
95.833,69.606,38.419,0.307
95.85,69.719,38.586,0.317
95.853,69.826,38.759,0.323
95.872,69.943,38.931,0.334
95.888,70.053,39.107,0.343
95.894,70.161,39.281,0.354
95.898,70.265,39.444,0.363
95.924,70.387,39.629,0.371
95.943,70.508,39.801,0.385
95.952,70.618,39.973,0.394
95.97,70.735,40.158,0.409
95.984,70.857,40.341,0.42
95.993,70.966,40.514,0.427
96.016,71.074,40.689,0.441
96.027,71.187,40.871,0.453
96.031,71.3,41.052,0.464
96.046,71.414,41.228,0.478
96.068,71.535,41.417,0.491
96.088,71.657,41.609,0.508
96.1,71.78,41.798,0.52
96.114,71.898,41.994,0.537
96.129,72.02,42.186,0.549
96.14,72.139,42.38,0.565
96.165,72.264,42.575,0.578
96.184,72.386,42.77,0.598
96.184,72.514,42.969,0.616
96.194,72.626,43.164,0.63
96.213,72.748,43.359,0.648
96.228,72.865,43.546,0.667
96.249,72.974,43.733,0.685
96.266,73.09,43.919,0.702
96.271,73.207,44.109,0.722
96.289,73.328,44.304,0.739
96.295,73.436,44.487,0.76
96.312,73.566,44.682,0.78
96.329,73.672,44.867,0.797
96.338,73.77,45.049,0.822
96.364,73.886,45.232,0.839
96.376,74.002,45.419,0.862
96.385,74.112,45.607,0.885
96.391,74.225,45.798,0.906
96.408,74.336,45.984,0.929
96.425,74.463,46.178,0.954
96.442,74.573,46.362,0.977
96.451,74.677,46.556,1.001
96.469,74.789,46.748,1.028
96.484,74.915,46.942,1.056
96.498,75.021,47.133,1.08
96.516,75.134,47.325,1.109
96.527,75.25,47.522,1.134
96.532,75.362,47.716,1.166
96.562,75.49,47.919,1.198
96.568,75.591,48.106,1.227
96.577,75.702,48.296,1.254
96.591,75.815,48.489,1.286
96.6,75.916,48.677,1.318
96.609,76.025,48.865,1.349
96.625,76.138,49.052,1.382
96.631,76.247,49.239,1.413
96.646,76.346,49.425,1.447
96.669,76.459,49.619,1.482
96.68,76.572,49.809,1.518
96.696,76.671,49.994,1.552
96.71,76.785,50.188,1.587
96.716,76.894,50.378,1.625
96.732,77.008,50.575,1.665
96.739,77.126,50.772,1.707
96.745,77.237,50.967,1.747
96.771,77.348,51.17,1.79
96.779,77.458,51.373,1.831
96.794,77.573,51.575,1.874
96.794,77.687,51.776,1.924
96.806,77.798,51.979,1.97
96.808,77.917,52.185,2.017
96.822,78.03,52.391,2.068
96.849,78.146,52.602,2.118
96.857,78.256,52.803,2.167
96.86,78.358,52.997,2.217
96.878,78.459,53.181,2.266
96.883,78.574,53.383,2.318
96.889,78.685,53.581,2.373
96.893,78.796,53.78,2.428
96.906,78.899,53.973,2.48
96.933,79.007,54.175,2.538
96.947,79.111,54.372,2.592
96.956,79.228,54.578,2.655
96.968,79.338,54.776,2.716
96.968,79.442,54.973,2.78
96.957,79.55,55.177,2.841
96.98,79.66,55.383,2.907
97.005,79.779,55.592,2.975
97.012,79.886,55.798,3.044
97.023,80.003,56.007,3.113
97.032,80.109,56.212,3.183
97.049,80.231,56.432,3.258
97.061,80.341,56.641,3.336
97.079,80.46,56.856,3.415
97.095,80.562,57.059,3.493
97.087,80.666,57.266,3.571
97.101,80.772,57.475,3.651
97.13,80.893,57.695,3.734
97.137,81.009,57.898,3.815
97.154,81.113,58.112,3.903
97.173,81.215,58.315,3.992
97.192,81.328,58.528,4.079
97.215,81.441,58.736,4.169
97.211,81.552,58.949,4.263
97.218,81.654,59.161,4.356
97.246,81.764,59.372,4.453
97.264,81.886,59.589,4.552
97.278,81.998,59.807,4.654
97.285,82.111,60.031,4.765
97.29,82.217,60.245,4.869
97.313,82.335,60.469,4.98
97.331,82.451,60.696,5.095
97.339,82.559,60.918,5.211
97.35,82.664,61.142,5.327
97.356,82.784,61.369,5.45
97.379,82.912,61.598,5.577
97.386,83.031,61.829,5.707
97.397,83.138,62.05,5.833
97.42,83.249,62.274,5.966
97.443,83.362,62.489,6.1
97.453,83.478,62.723,6.232
97.455,83.588,62.943,6.363
97.467,83.693,63.162,6.5
97.469,83.8,63.376,6.644
97.479,83.91,63.594,6.784
97.493,84.015,63.812,6.923
97.517,84.123,64.034,7.071
97.525,84.241,64.256,7.219
97.539,84.361,64.473,7.375
97.557,84.467,64.702,7.526
97.575,84.575,64.919,7.687
97.575,84.686,65.141,7.843
97.581,84.781,65.353,8.005
97.591,84.898,65.588,8.173
97.589,85.007,65.807,8.345
97.598,85.117,66.032,8.524
97.618,85.225,66.266,8.699
97.632,85.342,66.486,8.881
97.639,85.454,66.714,9.068
97.644,85.567,66.942,9.256
97.647,85.664,67.152,9.439
97.668,85.77,67.375,9.63
97.691,85.88,67.603,9.83
97.705,85.992,67.827,10.019
97.713,86.084,68.03,10.21
97.707,86.191,68.246,10.411
97.723,86.302,68.471,10.606
97.725,86.392,68.681,10.811
97.745,86.496,68.9,11.014
97.754,86.606,69.109,11.215
97.763,86.705,69.312,11.423
97.774,86.794,69.519,11.633
97.778,86.899,69.724,11.845
97.797,87.022,69.952,12.065
97.786,87.115,70.16,12.291
97.795,87.207,70.367,12.512
97.801,87.302,70.583,12.743
97.815,87.401,70.798,12.979
97.829,87.515,71.013,13.211
97.841,87.61,71.225,13.449
97.852,87.711,71.436,13.686
97.852,87.805,71.638,13.934
97.881,87.912,71.866,14.182
97.885,88.013,72.064,14.42
97.884,88.106,72.258,14.662
97.881,88.197,72.452,14.905
97.911,88.295,72.652,15.143
97.914,88.374,72.839,15.387
97.916,88.466,73.041,15.636
97.937,88.559,73.239,15.883
97.945,88.646,73.425,16.122
97.945,88.719,73.601,16.367
97.943,88.803,73.784,16.615
97.955,88.904,73.979,16.873
97.957,88.991,74.168,17.131
97.958,89.075,74.342,17.377
97.984,89.174,74.541,17.636
97.99,89.25,74.716,17.896
98.009,89.351,74.904,18.158
97.995,89.426,75.09,18.422
98.012,89.517,75.276,18.694
98.012,89.604,75.456,18.962
98.032,89.685,75.63,19.234
98.041,89.769,75.816,19.507
98.047,89.836,75.99,19.777
98.056,89.912,76.157,20.049
98.062,89.998,76.331,20.323
98.079,90.073,76.503,20.586
98.087,90.146,76.671,20.856
98.091,90.225,76.834,21.13
98.106,90.305,76.999,21.396
98.126,90.375,77.165,21.664
98.135,90.443,77.324,21.936
98.141,90.515,77.486,22.202
98.143,90.585,77.644,22.466
98.16,90.66,77.798,22.745
98.167,90.736,77.959,23.021
98.18,90.805,78.108,23.288
98.199,90.877,78.271,23.569
98.206,90.942,78.427,23.842
98.204,91.014,78.587,24.129
98.21,91.092,78.748,24.414
98.215,91.161,78.896,24.699
98.224,91.223,79.047,24.994
98.259,91.31,79.234,25.293
98.262,91.373,79.379,25.577
98.267,91.426,79.512,25.865
98.289,91.493,79.66,26.152
98.297,91.568,79.807,26.439
98.306,91.64,79.961,26.724
98.303,91.698,80.099,27.011
98.322,91.759,80.244,27.295
